512156,-1.16,0.08,24.99,0.03,0.01,1.03,0.08,-0.03,-0.53
517160,-0.84,0.48,23.23,0.04,0.02,0.98,0.08,-0.03,-0.54
522156,-0.81,1.10,21.36,0.05,0.02,0.95,0.08,-0.03,-0.53
527160,-0.43,-0.42,18.94,0.04,0.01,0.99,0.09,-0.03,-0.53
532156,-0.48,0.40,14.71,0.01,-0.01,1.01,0.08,-0.03,-0.53
537160,-0.26,0.74,8.44,-0.01,-0.01,1.03,0.08,-0.03,-0.53
542156,-0.02,0.70,1.15,0.00,-0.02,1.00,0.08,-0.03,-0.54
547156,0.35,0.05,-5.65,-0.02,-0.01,0.98,0.08,-0.03,-0.53
552156,0.38,0.05,-11.56,-0.05,0.00,0.99,0.08,-0.03,-0.54
557156,0.61,-0.11,-16.17,-0.08,-0.00,1.01,0.08,-0.03,-0.53
562156,0.84,-0.18,-19.78,-0.13,-0.03,1.01,0.08,-0.03,-0.53
567156,0.88,-0.29,-24.39,-0.18,-0.04,1.01,0.08,-0.03,-0.53
572156,0.93,-0.31,-30.77,-0.20,-0.04,0.98,0.08,-0.03,-0.53
577160,0.92,-1.29,-37.86,-0.21,-0.03,0.99,0.08,-0.03,-0.53
582160,1.23,-1.17,-45.01,-0.21,-0.01,0.99,0.08,-0.03,-0.53
587160,1.69,-1.30,-51.64,-0.21,0.01,0.97,0.08,-0.03,-0.54
592156,1.51,-1.71,-57.20,-0.19,0.03,1.05,0.08,-0.03,-0.53
597160,1.75,-0.19,-61.45,-0.17,0.03,1.02,0.08,-0.03,-0.53
602156,1.58,-2.03,-64.13,-0.14,0.04,0.97,0.08,-0.03,-0.53
607160,1.91,-1.96,-65.43,-0.12,0.03,0.98,0.08,-0.03,-0.53
612160,1.95,-1.24,-66.06,-0.10,0.02,0.97,0.08,-0.02,-0.53
617160,1.93,-2.01,-66.28,-0.12,0.01,1.05,0.08,-0.03,-0.53
622160,2.04,-1.34,-65.93,-0.08,-0.00,1.01,0.08,-0.02,-0.53
627156,1.82,-2.49,-65.03,-0.09,0.00,0.99,0.08,-0.02,-0.53
632156,1.88,-1.05,-62.97,-0.08,-0.01,0.99,0.08,-0.02,-0.53
637160,1.74,-0.24,-59.09,-0.06,-0.01,0.99,0.08,-0.02,-0.53
642160,1.24,1.09,-47.36,0.12,-0.02,1.00,0.08,-0.02,-0.53
647160,0.76,-1.22,-29.12,0.22,-0.04,1.03,0.08,-0.02,-0.53
652160,0.31,0.32,-11.34,0.21,-0.04,0.98,0.08,-0.02,-0.53
657156,0.22,-0.50,1.65,0.14,0.01,1.00,0.08,-0.02,-0.53
662160,-0.32,-0.06,11.51,0.06,0.03,1.01,0.08,-0.02,-0.53
667156,-0.50,1.66,19.41,0.04,0.05,1.00,0.08,-0.02,-0.53
